Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,0.00000E+000,26.81000E-012,140.92900E-003
1,1,2,200.00000E-003,4.15619E-009,286.27800E-003
1,1,3,400.00000E-003,8.30234E-009,432.47800E-003
1,1,4,600.00000E-003,13.19580E-009,571.65900E-003
1,1,5,800.00000E-003,18.88940E-009,693.63600E-003
1,1,6,1.00000E+000,24.30140E-009,815.63500E-003
1,1,7,1.20000E+000,31.29260E-009,937.59900E-003
1,1,8,1.39999E+000,35.86520E-009,1.05973E+000
1,1,9,1.60000E+000,41.98640E-009,1.18167E+000
1,1,10,1.80000E+000,49.14960E-009,1.30360E+000
1,1,11,1.99998E+000,60.08290E-009,1.44279E+000
1,1,12,2.20000E+000,67.59290E-009,1.58446E+000
1,1,13,2.40001E+000,73.55810E-009,1.72611E+000
1,1,14,2.60000E+000,78.62690E-009,1.86775E+000
1,1,15,2.79999E+000,85.43600E-009,2.00945E+000
1,1,16,3.00000E+000,96.20800E-009,2.13430E+000
1,1,17,3.20000E+000,101.81500E-009,2.25629E+000
1,1,18,3.40000E+000,113.13800E-009,2.37822E+000
1,1,19,3.60000E+000,120.94800E-009,2.51465E+000
1,1,20,3.80000E+000,127.31100E-009,2.63666E+000
1,1,21,4.00000E+000,129.26100E-009,2.75861E+000
1,1,22,4.20000E+000,141.26600E-009,2.88057E+000
1,1,23,4.40000E+000,152.99700E-009,3.00252E+000
1,1,24,4.60000E+000,154.06700E-009,3.12453E+000
1,1,25,4.80000E+000,166.24100E-009,3.24652E+000
1,1,26,5.00000E+000,179.64500E-009,3.36846E+000
1,1,27,5.20000E+000,188.76800E-009,3.49046E+000
1,1,28,5.40000E+000,198.91000E-009,3.61243E+000
1,1,29,5.60000E+000,217.09000E-009,3.73482E+000
1,1,30,5.80000E+000,234.69600E-009,3.85677E+000
1,1,31,6.00000E+000,243.49900E-009,3.97872E+000
1,1,32,6.20000E+000,259.81200E-009,4.10067E+000
1,1,33,6.40000E+000,266.55500E-009,4.22276E+000
1,1,34,6.60000E+000,279.60600E-009,4.34473E+000
1,1,35,6.80000E+000,281.26400E-009,4.46668E+000
1,1,36,7.00000E+000,280.31600E-009,4.58864E+000
1,1,37,7.20000E+000,289.77000E-009,4.71060E+000
1,1,38,7.40000E+000,293.21500E-009,4.83259E+000
1,1,39,7.60000E+000,291.92500E-009,4.95457E+000
1,1,40,7.80000E+000,290.13400E-009,5.07651E+000
1,1,41,8.00000E+000,311.78100E-009,5.19894E+000
