Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,1.00000E+000,7.43000E-012,133.77600E-003,-60.00000E+000,-2.23900E-009,10.38800E-003
1,1,2,1.00000E+000,4.80000E-012,255.21900E-003,-59.39700E+000,-1.41400E-009,156.27200E-003
1,1,3,1.00000E+000,3.79000E-012,376.01100E-003,-58.79400E+000,335.00000E-012,282.60300E-003
1,1,4,1.00000E+000,2.35000E-012,496.80400E-003,-58.19100E+000,-641.00000E-012,397.70400E-003
1,1,5,1.00000E+000,4.63000E-012,640.73200E-003,-57.58790E+000,738.00000E-012,541.34900E-003
1,1,6,1.00000E+000,4.50000E-012,761.53500E-003,-56.98490E+000,1.17700E-009,662.21000E-003
1,1,7,1.00000E+000,5.79000E-012,882.33300E-003,-56.38190E+000,1.00800E-009,783.21600E-003
1,1,8,1.00000E+000,4.61000E-012,1.00318E+000,-55.77890E+000,1.29300E-009,904.06100E-003
1,1,9,1.00000E+000,6.90000E-012,1.14180E+000,-55.17590E+000,915.00000E-012,1.04270E+000
1,1,10,1.00000E+000,6.02000E-012,1.26260E+000,-54.57290E+000,1.38800E-009,1.16346E+000
1,1,11,1.00000E+000,6.29000E-012,1.38340E+000,-53.96980E+000,444.00000E-012,1.28762E+000
1,1,12,1.00000E+000,5.40000E-012,1.50420E+000,-53.36680E+000,365.00000E-012,1.40830E+000
1,1,13,1.00000E+000,4.88000E-012,1.64409E+000,-52.76380E+000,-943.00000E-012,1.55557E+000
1,1,14,1.00000E+000,4.79000E-012,1.76491E+000,-52.16080E+000,908.00000E-012,1.66623E+000
1,1,15,1.00000E+000,5.06000E-012,1.88571E+000,-51.55780E+000,1.20900E-009,1.78654E+000
1,1,16,1.00000E+000,5.12000E-012,2.00654E+000,-50.95480E+000,964.00000E-012,1.90739E+000
1,1,17,1.00000E+000,4.18000E-012,2.14434E+000,-50.35180E+000,-727.00000E-012,2.05660E+000
1,1,18,1.00000E+000,4.66000E-012,2.26514E+000,-49.74870E+000,1.23400E-009,2.16600E+000
1,1,19,1.00000E+000,7.39000E-012,2.38594E+000,-49.14570E+000,1.20100E-009,2.28679E+000
1,1,20,1.00000E+000,7.38000E-012,2.50711E+000,-48.54270E+000,1.42100E-009,2.40775E+000
1,1,21,1.00000E+000,8.47000E-012,2.64657E+000,-47.93970E+000,884.00000E-012,2.54747E+000
1,1,22,1.00000E+000,10.20000E-012,2.76737E+000,-47.33670E+000,770.00000E-012,2.66822E+000
1,1,23,1.00000E+000,15.96000E-012,2.88818E+000,-46.73370E+000,-645.00000E-012,2.79232E+000
1,1,24,1.00000E+000,17.89000E-012,3.00960E+000,-46.13070E+000,-923.00000E-012,2.91312E+000
1,1,25,1.00000E+000,26.23000E-012,3.14687E+000,-45.52760E+000,978.00000E-012,3.04771E+000
1,1,26,1.00000E+000,35.91000E-012,3.26814E+000,-44.92460E+000,502.00000E-012,3.16903E+000
1,1,27,1.00000E+000,44.69000E-012,3.38892E+000,-44.32160E+000,563.00000E-012,3.28977E+000
1,1,28,1.00000E+000,50.73000E-012,3.50971E+000,-43.71860E+000,-1.00900E-009,3.41384E+000
1,1,29,1.00000E+000,71.05000E-012,3.64812E+000,-43.11560E+000,570.00000E-012,3.54896E+000
1,1,30,1.00000E+000,73.37000E-012,3.76892E+000,-42.51260E+000,-768.00000E-012,3.67304E+000
1,1,31,1.00000E+000,91.45000E-012,3.88972E+000,-41.90950E+000,-118.00000E-012,3.79056E+000
1,1,32,1.00000E+000,129.19000E-012,4.01071E+000,-41.30650E+000,-445.00000E-012,3.91189E+000
1,1,33,1.00000E+000,152.04000E-012,4.15039E+000,-40.70350E+000,938.00000E-012,4.06718E+000
1,1,34,1.00000E+000,188.17000E-012,4.27119E+000,-40.10050E+000,-227.00000E-012,4.17203E+000
1,1,35,1.00000E+000,195.42000E-012,4.39198E+000,-39.49750E+000,-454.00000E-012,4.29611E+000
1,1,36,1.00000E+000,238.65000E-012,4.51338E+000,-38.89450E+000,-547.00000E-012,4.41366E+000
1,1,37,1.00000E+000,264.34000E-012,4.65307E+000,-38.29150E+000,-618.00000E-012,4.55431E+000
1,1,38,1.00000E+000,333.77000E-012,4.77386E+000,-37.68840E+000,-586.00000E-012,4.67470E+000
1,1,39,1.00000E+000,391.41000E-012,4.89464E+000,-37.08540E+000,73.00000E-012,4.79877E+000
1,1,40,999.99900E-003,396.64000E-012,5.01590E+000,-36.48240E+000,148.00000E-012,4.91618E+000
1,1,41,1.00000E+000,438.52000E-012,5.15257E+000,-35.87940E+000,-357.00000E-012,5.05282E+000
1,1,42,1.00000E+000,508.88000E-012,5.27338E+000,-35.27640E+000,-137.00000E-012,5.17754E+000
1,1,43,1.00000E+000,589.57000E-012,5.39419E+000,-34.67340E+000,-330.00000E-012,5.29504E+000
1,1,44,1.00000E+000,666.12000E-012,5.51498E+000,-34.07040E+000,350.00000E-012,5.41909E+000
1,1,45,1.00000E+000,821.47000E-012,5.65324E+000,-33.46730E+000,1.07900E-009,5.56536E+000
1,1,46,1.00000E+000,904.28000E-012,5.77403E+000,-32.86430E+000,150.00000E-012,5.67825E+000
1,1,47,1.00000E+000,1.03229E-009,5.89537E+000,-32.26130E+000,-189.00000E-012,5.79567E+000
1,1,48,1.00000E+000,1.15805E-009,6.01621E+000,-31.65830E+000,43.00000E-012,5.91710E+000
1,1,49,1.00000E+000,1.22631E-009,6.15452E+000,-31.05530E+000,-392.00000E-012,6.07206E+000
1,1,50,1.00000E+000,1.48789E-009,6.27531E+000,-30.45230E+000,356.00000E-012,6.17598E+000
1,1,51,1.00000E+000,1.54192E-009,6.39610E+000,-29.84920E+000,-5.00000E-012,6.29699E+000
1,1,52,1.00000E+000,1.79154E-009,6.51700E+000,-29.24620E+000,174.00000E-012,6.41773E+000
1,1,53,1.00000E+000,1.97493E-009,6.65588E+000,-28.64320E+000,-44.00000E-012,6.55669E+000
1,1,54,1.00000E+000,2.34854E-009,6.77668E+000,-28.04020E+000,1.04800E-009,6.68080E+000
1,1,55,1.00000E+000,2.61089E-009,6.89749E+000,-27.43710E+000,-4.32300E-009,6.79791E+000
1,1,56,1.00000E+000,2.74295E-009,7.01836E+000,-26.83420E+000,664.00000E-012,6.91922E+000
1,1,57,1.00000E+000,2.87566E-009,7.15704E+000,-26.23120E+000,313.00000E-012,7.05787E+000
1,1,58,1.00000E+000,3.31819E-009,7.27784E+000,-25.62810E+000,1.12400E-009,7.18203E+000
1,1,59,1.00000E+000,3.45276E-009,7.39863E+000,-25.02510E+000,793.00000E-012,7.29952E+000
1,1,60,999.99900E-003,3.71069E-009,7.51957E+000,-24.42210E+000,1.22000E-009,7.42026E+000
1,1,61,1.00000E+000,3.84208E-009,7.66033E+000,-23.81910E+000,1.54700E-009,7.56166E+000
1,1,62,1.00000E+000,4.34466E-009,7.78112E+000,-23.21610E+000,1.45900E-009,7.68528E+000
1,1,63,1.00000E+000,4.45728E-009,7.90192E+000,-22.61310E+000,1.59200E-009,7.80277E+000
1,1,64,999.99900E-003,4.48850E-009,8.02300E+000,-22.01010E+000,1.91600E-009,7.92360E+000
1,1,65,1.00000E+000,4.89139E-009,8.16017E+000,-21.40700E+000,-377.00000E-012,8.07159E+000
1,1,66,999.99700E-003,5.43597E-009,8.28097E+000,-20.80401E+000,1.67600E-009,8.18178E+000
1,1,67,1.00000E+000,5.91291E-009,8.40177E+000,-20.20101E+000,1.61600E-009,8.30262E+000
1,1,68,999.99900E-003,6.27245E-009,8.52256E+000,-19.59799E+000,1.22300E-009,8.42660E+000
1,1,69,1.00000E+000,6.38064E-009,8.66081E+000,-18.99497E+000,-224.00000E-012,8.57716E+000
1,1,70,1.00000E+000,6.74908E-009,8.78161E+000,-18.39197E+000,1.85200E-009,8.68223E+000
1,1,71,1.00000E+000,7.13780E-009,8.90240E+000,-17.78894E+000,1.80400E-009,8.80326E+000
1,1,72,1.00000E+000,8.05853E-009,9.02340E+000,-17.18593E+000,1.91900E-009,8.92407E+000
1,1,73,1.00000E+000,8.37349E-009,9.16309E+000,-16.58291E+000,1.54400E-009,9.08365E+000
1,1,74,1.00000E+000,8.69826E-009,9.28389E+000,-15.97990E+000,1.80000E-009,9.18477E+000
1,1,75,1.00000E+000,9.19271E-009,9.40468E+000,-15.37688E+000,1.64200E-009,9.30552E+000
1,1,76,1.00000E+000,9.43310E-009,9.58534E+000,-14.77387E+000,438.00000E-012,9.42950E+000
1,1,77,1.00000E+000,9.76290E-009,9.70730E+000,-14.17086E+000,152.00000E-012,9.61020E+000
1,1,78,1.00000E+000,10.41310E-009,9.82926E+000,-13.56784E+000,-270.00000E-012,9.73215E+000
1,1,79,1.00000E+000,10.77870E-009,9.95203E+000,-12.96484E+000,434.00000E-012,9.85066E+000
1,1,80,999.99300E-003,11.01650E-009,10.07405E+000,-12.36181E+000,-300.00000E-012,9.97372E+000
1,1,81,1.00000E+000,12.02730E-009,10.19603E+000,-11.75879E+000,-46.00000E-012,10.09572E+000
1,1,82,1.00000E+000,11.75140E-009,10.31798E+000,-11.15578E+000,1.18400E-009,10.22084E+000
1,1,83,999.99800E-003,13.07140E-009,10.43992E+000,-10.55277E+000,1.22000E-009,10.33939E+000
1,1,84,1.00000E+000,13.83040E-009,10.58268E+000,-9.94975E+000,1.61200E-009,10.46154E+000
1,1,85,1.00000E+000,13.93620E-009,10.70470E+000,-9.34673E+000,1.14200E-009,10.60751E+000
1,1,86,999.99800E-003,14.87390E-009,10.82667E+000,-8.74372E+000,1.60600E-009,10.72636E+000
1,1,87,1.00000E+000,15.62890E-009,10.94897E+000,-8.14070E+000,-611.00000E-012,10.85429E+000
1,1,88,1.00000E+000,16.05710E-009,11.08108E+000,-7.53769E+000,259.00000E-012,10.97067E+000
1,1,89,1.00000E+000,15.86660E-009,11.20304E+000,-6.93467E+000,1.65000E-009,11.10277E+000
1,1,90,1.00000E+000,16.19200E-009,11.32540E+000,-6.33166E+000,1.97400E-009,11.22467E+000
