Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,0.00000E+000,5.61000E-012,140.63800E-003
1,1,2,200.00000E-003,418.86000E-012,286.01400E-003
1,1,3,400.00000E-003,982.97000E-012,431.16600E-003
1,1,4,600.00000E-003,1.62701E-009,576.73400E-003
1,1,5,800.00000E-003,2.49582E-009,721.91100E-003
1,1,6,1.00000E+000,3.04098E-009,867.09100E-003
1,1,7,1.20000E+000,3.75782E-009,1.01222E+000
1,1,8,1.40000E+000,4.51147E-009,1.15736E+000
1,1,9,1.60000E+000,5.14326E-009,1.30257E+000
1,1,10,1.80000E+000,5.52150E-009,1.44773E+000
1,1,11,2.00000E+000,6.55351E-009,1.59288E+000
1,1,12,2.20000E+000,7.49146E-009,1.73818E+000
1,1,13,2.40000E+000,7.74936E-009,1.88381E+000
1,1,14,2.60000E+000,8.62469E-009,2.02952E+000
1,1,15,2.80000E+000,9.14810E-009,2.16880E+000
1,1,16,3.00000E+000,9.53180E-009,2.29072E+000
1,1,17,3.20000E+000,10.29470E-009,2.42926E+000
1,1,18,3.40000E+000,10.57360E-009,2.55128E+000
1,1,19,3.60000E+000,11.59990E-009,2.67408E+000
1,1,20,3.80000E+000,12.19130E-009,2.79605E+000
1,1,21,4.00000E+000,13.06670E-009,2.91800E+000
1,1,22,4.20000E+000,13.24920E-009,3.03998E+000
1,1,23,4.40000E+000,13.76740E-009,3.16196E+000
1,1,24,4.60000E+000,14.04490E-009,3.28390E+000
1,1,25,4.79999E+000,14.92110E-009,3.40585E+000
1,1,26,5.00000E+000,15.36030E-009,3.52779E+000
1,1,27,5.20000E+000,15.87000E-009,3.64975E+000
1,1,28,5.40000E+000,17.07200E-009,3.77170E+000
1,1,29,5.60000E+000,17.02880E-009,3.89364E+000
1,1,30,5.80000E+000,17.76940E-009,4.01558E+000
1,1,31,6.00000E+000,18.53840E-009,4.13825E+000
1,1,32,6.20000E+000,19.26280E-009,4.26021E+000
1,1,33,6.40000E+000,20.28860E-009,4.38217E+000
1,1,34,6.60000E+000,20.83230E-009,4.50418E+000
1,1,35,6.79999E+000,22.28370E-009,4.62620E+000
1,1,36,7.00000E+000,23.84230E-009,4.74815E+000
1,1,37,7.20000E+000,23.11690E-009,4.87008E+000
1,1,38,7.40000E+000,23.44970E-009,4.99203E+000
1,1,39,7.60000E+000,24.34310E-009,5.11397E+000
1,1,40,7.80000E+000,25.31030E-009,5.23591E+000
1,1,41,8.00000E+000,25.63540E-009,5.35785E+000
1,1,42,8.20000E+000,25.32760E-009,5.47979E+000
1,1,43,8.40000E+000,26.03440E-009,5.60175E+000
1,1,44,8.60000E+000,27.26020E-009,5.72417E+000
1,1,45,8.80000E+000,26.43950E-009,5.84634E+000
1,1,46,9.00000E+000,27.94130E-009,5.96831E+000
1,1,47,9.20000E+000,29.69370E-009,6.09029E+000
1,1,48,9.40000E+000,29.75340E-009,6.21223E+000
1,1,49,9.59999E+000,30.33400E-009,6.33417E+000
1,1,50,9.80000E+000,31.04480E-009,6.45610E+000
1,1,51,9.99999E+000,32.54460E-009,6.57814E+000
1,1,52,9.80000E+000,31.96690E-009,6.70007E+000
1,1,53,9.59999E+000,32.85410E-009,6.82202E+000
1,1,54,9.40000E+000,32.19970E-009,6.94396E+000
1,1,55,9.20000E+000,31.43690E-009,7.06589E+000
1,1,56,9.00000E+000,31.22010E-009,7.18787E+000
1,1,57,8.80000E+000,30.70470E-009,7.31028E+000
1,1,58,8.60000E+000,29.51850E-009,7.43229E+000
1,1,59,8.40000E+000,27.86010E-009,7.55428E+000
1,1,60,8.19999E+000,27.46190E-009,7.67631E+000
1,1,61,8.00000E+000,26.49200E-009,7.79845E+000
1,1,62,7.80000E+000,25.29040E-009,7.92056E+000
1,1,63,7.60000E+000,24.78650E-009,8.04250E+000
1,1,64,7.40000E+000,24.69940E-009,8.16451E+000
1,1,65,7.20000E+000,23.30160E-009,8.28643E+000
1,1,66,7.00000E+000,22.36800E-009,8.40835E+000
1,1,67,6.80000E+000,21.57170E-009,8.53035E+000
1,1,68,6.60000E+000,21.52080E-009,8.65233E+000
1,1,69,6.40000E+000,21.01660E-009,8.77567E+000
1,1,70,6.20000E+000,19.83550E-009,8.89775E+000
1,1,71,5.99999E+000,19.07790E-009,9.02025E+000
1,1,72,5.80000E+000,18.27380E-009,9.14222E+000
1,1,73,5.60000E+000,17.73810E-009,9.26418E+000
1,1,74,5.40000E+000,17.09610E-009,9.38613E+000
1,1,75,5.20000E+000,17.20750E-009,9.50806E+000
1,1,76,5.00000E+000,16.21490E-009,9.63000E+000
1,1,77,4.80000E+000,15.51920E-009,9.75194E+000
1,1,78,4.60000E+000,15.14430E-009,9.87393E+000
1,1,79,4.40000E+000,14.37970E-009,9.99587E+000
1,1,80,4.20000E+000,13.61720E-009,10.11787E+000
1,1,81,4.00000E+000,12.81820E-009,10.24076E+000
1,1,82,3.80000E+000,11.59330E-009,10.36281E+000
1,1,83,3.60000E+000,10.81770E-009,10.48523E+000
1,1,84,3.40000E+000,10.39190E-009,10.60722E+000
1,1,85,3.20000E+000,9.44340E-009,10.72917E+000
1,1,86,3.00000E+000,9.01035E-009,10.86603E+000
1,1,87,2.80000E+000,8.37784E-009,11.03101E+000
1,1,88,2.60000E+000,7.68380E-009,11.17753E+000
1,1,89,2.40000E+000,7.13453E-009,11.32270E+000
1,1,90,2.20000E+000,6.47965E-009,11.46792E+000
1,1,91,2.00000E+000,6.05501E-009,11.61308E+000
1,1,92,1.80000E+000,5.26085E-009,11.75821E+000
1,1,93,1.60000E+000,4.81335E-009,11.90335E+000
1,1,94,1.40000E+000,4.23812E-009,12.04851E+000
1,1,95,1.20000E+000,3.71966E-009,12.19368E+000
1,1,96,1.00000E+000,2.96635E-009,12.33883E+000
1,1,97,800.00000E-003,2.50329E-009,12.48465E+000
1,1,98,600.00000E-003,1.85457E-009,12.63064E+000
1,1,99,400.00000E-003,1.21644E-009,12.77593E+000
1,1,100,200.00000E-003,583.44000E-012,12.92178E+000
1,1,101,0.00000E+000,-8.17000E-012,13.06687E+000
1,1,102,-200.00000E-003,-604.15000E-012,13.21201E+000
1,1,103,-400.00000E-003,-1.23519E-009,13.35716E+000
1,1,104,-600.00000E-003,-1.94475E-009,13.50228E+000
1,1,105,-800.00000E-003,-2.71787E-009,13.64746E+000
1,1,106,-1.00000E+000,-3.52962E-009,13.79268E+000
1,1,107,-1.20000E+000,-4.40154E-009,13.93788E+000
1,1,108,-1.40000E+000,-5.31414E-009,14.08303E+000
1,1,109,-1.60000E+000,-6.56554E-009,14.22880E+000
1,1,110,-1.80000E+000,-7.45462E-009,14.37393E+000
1,1,111,-2.00000E+000,-9.31513E-009,14.51966E+000
1,1,112,-2.20000E+000,-10.51650E-009,14.65932E+000
1,1,113,-2.40000E+000,-11.65470E-009,14.78128E+000
1,1,114,-2.60000E+000,-12.93700E-009,14.92036E+000
1,1,115,-2.80000E+000,-14.55050E-009,15.04356E+000
1,1,116,-3.00000E+000,-16.88410E-009,15.16586E+000
1,1,117,-3.20000E+000,-18.60950E-009,15.28780E+000
1,1,118,-3.40000E+000,-20.82980E-009,15.40973E+000
1,1,119,-3.60000E+000,-22.80260E-009,15.53168E+000
1,1,120,-3.80000E+000,-24.55550E-009,15.65370E+000
1,1,121,-4.00000E+000,-27.06160E-009,15.77564E+000
1,1,122,-4.20000E+000,-30.32540E-009,15.89758E+000
1,1,123,-4.40000E+000,-33.28190E-009,16.01953E+000
1,1,124,-4.60000E+000,-36.74210E-009,16.14148E+000
1,1,125,-4.80000E+000,-40.11900E-009,16.26362E+000
1,1,126,-5.00000E+000,-44.57640E-009,16.38703E+000
1,1,127,-5.20000E+000,-48.46410E-009,16.50921E+000
1,1,128,-5.40000E+000,-52.59610E-009,16.64865E+000
1,1,129,-5.60001E+000,-57.17080E-009,16.80530E+000
1,1,130,-5.80000E+000,-62.76850E-009,16.94839E+000
1,1,131,-6.00000E+000,-67.94340E-009,17.09134E+000
1,1,132,-6.20001E+000,-73.65730E-009,17.23308E+000
1,1,133,-6.40001E+000,-78.82960E-009,17.37507E+000
1,1,134,-6.60000E+000,-85.91300E-009,17.49992E+000
1,1,135,-6.80000E+000,-93.18200E-009,17.62188E+000
1,1,136,-7.00000E+000,-101.17900E-009,17.74382E+000
1,1,137,-7.20000E+000,-108.64300E-009,17.88058E+000
1,1,138,-7.40000E+000,-114.99600E-009,18.00316E+000
1,1,139,-7.60000E+000,-126.90000E-009,18.12525E+000
1,1,140,-7.80000E+000,-134.04500E-009,18.24761E+000
1,1,141,-8.00000E+000,-144.44200E-009,18.36957E+000
1,1,142,-8.20000E+000,-153.76300E-009,18.49158E+000
1,1,143,-8.40000E+000,-165.15200E-009,18.61358E+000
1,1,144,-8.60000E+000,-179.14400E-009,18.73551E+000
1,1,145,-8.80000E+000,-191.74300E-009,18.85746E+000
1,1,146,-9.00000E+000,-207.48300E-009,18.97941E+000
1,1,147,-9.20000E+000,-223.15900E-009,19.10138E+000
1,1,148,-9.40000E+000,-236.95400E-009,19.22345E+000
1,1,149,-9.60000E+000,-253.59100E-009,19.34539E+000
1,1,150,-9.80000E+000,-269.35700E-009,19.46799E+000
1,1,151,-10.00000E+000,-284.40300E-009,19.58995E+000
1,1,152,-9.80000E+000,-271.72400E-009,19.71196E+000
1,1,153,-9.60000E+000,-264.85800E-009,19.83390E+000
1,1,154,-9.40000E+000,-256.48900E-009,19.95585E+000
1,1,155,-9.20000E+000,-247.59400E-009,20.07780E+000
1,1,156,-9.00000E+000,-238.05600E-009,20.19976E+000
1,1,157,-8.80000E+000,-225.95800E-009,20.32172E+000
1,1,158,-8.60000E+000,-216.38400E-009,20.44367E+000
1,1,159,-8.40000E+000,-205.90000E-009,20.56562E+000
1,1,160,-8.20000E+000,-197.64300E-009,20.68840E+000
1,1,161,-8.00000E+000,-187.36600E-009,20.81040E+000
1,1,162,-7.80000E+000,-178.99800E-009,20.93236E+000
1,1,163,-7.60000E+000,-165.96100E-009,21.05432E+000
1,1,164,-7.40000E+000,-157.10900E-009,21.17630E+000
1,1,165,-7.20000E+000,-149.16100E-009,21.29823E+000
1,1,166,-7.00000E+000,-140.02500E-009,21.42021E+000
1,1,167,-6.80000E+000,-132.44500E-009,21.54220E+000
1,1,168,-6.60000E+000,-124.48700E-009,21.66416E+000
1,1,169,-6.40000E+000,-115.80100E-009,21.78612E+000
1,1,170,-6.20000E+000,-106.81700E-009,21.90812E+000
1,1,171,-6.00000E+000,-100.88700E-009,22.03008E+000
1,1,172,-5.80000E+000,-92.62600E-009,22.15206E+000
1,1,173,-5.60000E+000,-85.66300E-009,22.27413E+000
1,1,174,-5.40000E+000,-78.58100E-009,22.41341E+000
1,1,175,-5.20001E+000,-72.75190E-009,22.53544E+000
1,1,176,-5.00000E+000,-66.15600E-009,22.67797E+000
1,1,177,-4.80000E+000,-60.81090E-009,22.79990E+000
1,1,178,-4.60001E+000,-55.73420E-009,22.92188E+000
1,1,179,-4.40000E+000,-49.67600E-009,23.04381E+000
1,1,180,-4.20000E+000,-45.35020E-009,23.16576E+000
1,1,181,-4.00000E+000,-41.28560E-009,23.28772E+000
1,1,182,-3.80000E+000,-37.05640E-009,23.40966E+000
1,1,183,-3.60000E+000,-33.13020E-009,23.53161E+000
1,1,184,-3.40000E+000,-29.26920E-009,23.65443E+000
1,1,185,-3.20000E+000,-25.69360E-009,23.77743E+000
1,1,186,-3.00000E+000,-22.60480E-009,23.89941E+000
1,1,187,-2.80000E+000,-19.34310E-009,24.02137E+000
1,1,188,-2.60000E+000,-16.99290E-009,24.14335E+000
1,1,189,-2.40000E+000,-14.54560E-009,24.26530E+000
1,1,190,-2.20000E+000,-12.45210E-009,24.38729E+000
1,1,191,-2.00000E+000,-10.40980E-009,24.50928E+000
1,1,192,-1.80000E+000,-8.30944E-009,24.64621E+000
1,1,193,-1.60000E+000,-6.81503E-009,24.79133E+000
1,1,194,-1.40000E+000,-5.51937E-009,24.95345E+000
1,1,195,-1.20000E+000,-4.32576E-009,25.09953E+000
1,1,196,-1.00000E+000,-3.27131E-009,25.24663E+000
1,1,197,-800.00000E-003,-2.28151E-009,25.39278E+000
1,1,198,-600.00000E-003,-1.54833E-009,25.53789E+000
1,1,199,-400.00000E-003,-970.72000E-012,25.68305E+000
1,1,200,-200.00000E-003,-407.46000E-012,25.82825E+000
