Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,1.00000E+000,23.49000E-012,133.60400E-003,-60.00000E+000,-999.00000E-012,10.52500E-003
1,1,2,1.00000E+000,20.67000E-012,254.64500E-003,-59.39700E+000,-352.00000E-012,158.79100E-003
1,1,3,1.00000E+000,15.79000E-012,376.12100E-003,-58.79400E+000,417.00000E-012,277.76000E-003
1,1,4,1.00000E+000,13.24000E-012,496.98700E-003,-58.19100E+000,-856.00000E-012,401.16400E-003
1,1,5,1.00000E+000,11.00000E-012,640.49800E-003,-57.58790E+000,-422.00000E-012,541.17900E-003
1,1,6,1.00000E+000,11.39000E-012,761.30700E-003,-56.98490E+000,-1.05600E-009,665.46100E-003
1,1,7,1.00000E+000,8.94000E-012,882.39900E-003,-56.38190E+000,-893.00000E-012,786.26700E-003
1,1,8,1.00000E+000,11.01000E-012,1.00319E+000,-55.77890E+000,-528.00000E-012,903.90400E-003
1,1,9,1.00000E+000,11.69000E-012,1.14263E+000,-55.17590E+000,-102.00000E-012,1.04330E+000
1,1,10,1.00000E+000,9.96000E-012,1.26343E+000,-54.57280E+000,-5.28600E-009,1.16384E+000
1,1,11,1.00000E+000,9.71000E-012,1.38423E+000,-53.96980E+000,-814.00000E-012,1.28506E+000
1,1,12,1.00000E+000,9.39000E-012,1.50503E+000,-53.36680E+000,-494.00000E-012,1.40586E+000
1,1,13,1.00000E+000,10.00000E-012,1.64326E+000,-52.76380E+000,-785.00000E-012,1.54386E+000
1,1,14,1.00000E+000,11.55000E-012,1.76409E+000,-52.16080E+000,-767.00000E-012,1.66489E+000
1,1,15,1.00000E+000,10.46000E-012,1.88491E+000,-51.55780E+000,-566.00000E-012,1.78575E+000
1,1,16,1.00000E+000,9.46000E-012,2.00570E+000,-50.95480E+000,182.00000E-012,1.90987E+000
1,1,17,1.00000E+000,8.57000E-012,2.14413E+000,-50.35180E+000,-646.00000E-012,2.04497E+000
1,1,18,1.00000E+000,7.34000E-012,2.26492E+000,-49.74870E+000,-129.00000E-012,2.16906E+000
1,1,19,1.00000E+000,6.84000E-012,2.38571E+000,-49.14570E+000,-414.00000E-012,2.28661E+000
1,1,20,1.00000E+000,7.58000E-012,2.50654E+000,-48.54270E+000,-204.00000E-012,2.40742E+000
1,1,21,1.00000E+000,5.05000E-012,2.64644E+000,-47.93970E+000,-545.00000E-012,2.56116E+000
1,1,22,1.00000E+000,3.57000E-012,2.76724E+000,-47.33670E+000,936.00000E-012,2.67138E+000
1,1,23,1.00000E+000,3.07000E-012,2.88803E+000,-46.73370E+000,1.07600E-009,2.79216E+000
1,1,24,1.00000E+000,3.01000E-012,3.00883E+000,-46.13070E+000,1.15000E-009,2.91308E+000
1,1,25,1.00000E+000,330.00000E-015,3.14738E+000,-45.52760E+000,-155.00000E-012,3.04752E+000
1,1,26,1.00000E+000,3.48000E-012,3.26822E+000,-44.92460E+000,447.00000E-012,3.16909E+000
1,1,27,1.00000E+000,2.06000E-012,3.38904E+000,-44.32160E+000,1.08100E-009,3.28971E+000
1,1,28,1.00000E+000,2.00000E-012,3.50986E+000,-43.71860E+000,1.60900E-009,3.41054E+000
1,1,29,1.00000E+000,2.01000E-012,3.64791E+000,-43.11560E+000,-183.00000E-012,3.56034E+000
1,1,30,1.00000E+000,2.33000E-012,3.76888E+000,-42.51260E+000,1.14700E-009,3.67286E+000
1,1,31,1.00000E+000,5.17000E-012,3.88968E+000,-41.90950E+000,1.08200E-009,3.79056E+000
1,1,32,1.00000E+000,6.02000E-012,4.01047E+000,-41.30650E+000,1.48800E-009,3.91463E+000
1,1,33,1.00000E+000,9.26000E-012,4.15073E+000,-40.70350E+000,1.46500E-009,4.05202E+000
1,1,34,1.00000E+000,9.45000E-012,4.27153E+000,-40.10050E+000,1.68500E-009,4.17216E+000
1,1,35,1.00000E+000,10.54000E-012,4.39232E+000,-39.49750E+000,1.78600E-009,4.29316E+000
1,1,36,1.00000E+000,11.13000E-012,4.51315E+000,-38.89450E+000,1.81800E-009,4.41399E+000
1,1,37,1.00000E+000,11.26000E-012,4.65408E+000,-38.29150E+000,1.55400E-009,4.55524E+000
