Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,0.00000E+000,2.98000E-012,140.70000E-003
1,1,2,200.00000E-003,108.37000E-012,286.67900E-003
1,1,3,400.00000E-003,203.69000E-012,431.78100E-003
1,1,4,600.00000E-003,289.62000E-012,576.90400E-003
1,1,5,800.00000E-003,399.12000E-012,722.00900E-003
1,1,6,1.00000E+000,534.58000E-012,867.41900E-003
1,1,7,1.20000E+000,665.75000E-012,1.01406E+000
1,1,8,1.40000E+000,755.12000E-012,1.15999E+000
1,1,9,1.60000E+000,934.14000E-012,1.30511E+000
1,1,10,1.80000E+000,1.04298E-009,1.45028E+000
1,1,11,2.00000E+000,1.22034E-009,1.59541E+000
1,1,12,2.20000E+000,1.25986E-009,1.74054E+000
1,1,13,2.40000E+000,1.33281E-009,1.88583E+000
1,1,14,2.60000E+000,1.57695E-009,2.03102E+000
1,1,15,2.80000E+000,1.68107E-009,2.17611E+000
1,1,16,3.00000E+000,1.63521E-009,2.32135E+000
1,1,17,3.20000E+000,1.75494E-009,2.46675E+000
1,1,18,3.40000E+000,1.89687E-009,2.61259E+000
1,1,19,3.60000E+000,2.01888E-009,2.75883E+000
1,1,20,3.80000E+000,2.09021E-009,2.90408E+000
1,1,21,4.00000E+000,2.20970E-009,3.04920E+000
1,1,22,4.20000E+000,2.33377E-009,3.19438E+000
1,1,23,4.40000E+000,2.48626E-009,3.33949E+000
1,1,24,4.60000E+000,2.57173E-009,3.48460E+000
1,1,25,4.80000E+000,2.57509E-009,3.62969E+000
1,1,26,5.00000E+000,2.90437E-009,3.77485E+000
1,1,27,5.20000E+000,2.99561E-009,3.91998E+000
1,1,28,5.40000E+000,3.09648E-009,4.06511E+000
1,1,29,5.60000E+000,3.23972E-009,4.21097E+000
1,1,30,5.80000E+000,3.24286E-009,4.35655E+000
1,1,31,6.00000E+000,3.25808E-009,4.50246E+000
1,1,32,6.20000E+000,3.41449E-009,4.64758E+000
1,1,33,6.40000E+000,3.34206E-009,4.79268E+000
1,1,34,6.60000E+000,3.53448E-009,4.93785E+000
1,1,35,6.80000E+000,3.70680E-009,5.08298E+000
1,1,36,7.00000E+000,3.80302E-009,5.22809E+000
1,1,37,7.20000E+000,3.68427E-009,5.37322E+000
1,1,38,7.40000E+000,3.80036E-009,5.51837E+000
1,1,39,7.60000E+000,3.65279E-009,5.66352E+000
1,1,40,7.80000E+000,3.75689E-009,5.80918E+000
1,1,41,8.00000E+000,3.91612E-009,5.95505E+000
1,1,42,8.20000E+000,4.01898E-009,6.10205E+000
1,1,43,8.40000E+000,4.15385E-009,6.24879E+000
1,1,44,8.60000E+000,4.17618E-009,6.39395E+000
1,1,45,8.79999E+000,4.46848E-009,6.53908E+000
1,1,46,9.00000E+000,4.55281E-009,6.68422E+000
1,1,47,9.20000E+000,4.73203E-009,6.82931E+000
1,1,48,9.40000E+000,4.81607E-009,6.97443E+000
1,1,49,9.60000E+000,4.84083E-009,7.11954E+000
1,1,50,9.80000E+000,4.93018E-009,7.26470E+000
1,1,51,10.00000E+000,5.13297E-009,7.40990E+000
1,1,52,9.80000E+000,5.09852E-009,7.55595E+000
1,1,53,9.60000E+000,4.96539E-009,7.70269E+000
1,1,54,9.40000E+000,4.85040E-009,7.84785E+000
1,1,55,9.20000E+000,4.83155E-009,7.99304E+000
1,1,56,9.00000E+000,5.10725E-009,8.13816E+000
1,1,57,8.80000E+000,4.81649E-009,8.28328E+000
1,1,58,8.60000E+000,4.81092E-009,8.42848E+000
1,1,59,8.40000E+000,4.86114E-009,8.57365E+000
1,1,60,8.19999E+000,4.72422E-009,8.71878E+000
1,1,61,8.00000E+000,4.39466E-009,8.86556E+000
1,1,62,7.80000E+000,4.45949E-009,9.01074E+000
1,1,63,7.60000E+000,4.51900E-009,9.15664E+000
1,1,64,7.40000E+000,4.80438E-009,9.30262E+000
1,1,65,7.20000E+000,4.54220E-009,9.44775E+000
1,1,66,7.00000E+000,4.41215E-009,9.59297E+000
1,1,67,6.80000E+000,4.21718E-009,9.73806E+000
1,1,68,6.60000E+000,4.28382E-009,9.88314E+000
1,1,69,6.40000E+000,3.95701E-009,10.02824E+000
1,1,70,6.20000E+000,3.96459E-009,10.17340E+000
1,1,71,6.00000E+000,3.95732E-009,10.31852E+000
1,1,72,5.80000E+000,3.93076E-009,10.46400E+000
1,1,73,5.60000E+000,4.11271E-009,10.61159E+000
1,1,74,5.40000E+000,3.98006E-009,10.75859E+000
1,1,75,5.20000E+000,3.70088E-009,10.90370E+000
1,1,76,5.00000E+000,3.55938E-009,11.04885E+000
1,1,77,4.80000E+000,3.45516E-009,11.19394E+000
1,1,78,4.60000E+000,3.30886E-009,11.33914E+000
1,1,79,4.40000E+000,3.10456E-009,11.48428E+000
1,1,80,4.20000E+000,3.12525E-009,11.62950E+000
1,1,81,4.00000E+000,2.95772E-009,11.77461E+000
1,1,82,3.80000E+000,2.90600E-009,11.91987E+000
1,1,83,3.60000E+000,2.76767E-009,12.06505E+000
1,1,84,3.40000E+000,2.69033E-009,12.21073E+000
1,1,85,3.20000E+000,2.61397E-009,12.35773E+000
1,1,86,3.00000E+000,2.44472E-009,12.50482E+000
1,1,87,2.80000E+000,2.45434E-009,12.64990E+000
1,1,88,2.60000E+000,2.21402E-009,12.79501E+000
1,1,89,2.40000E+000,2.10464E-009,12.94030E+000
1,1,90,2.20000E+000,1.91499E-009,13.08546E+000
1,1,91,2.00000E+000,1.64953E-009,13.23056E+000
1,1,92,1.80000E+000,1.54402E-009,13.37569E+000
1,1,93,1.60000E+000,1.45211E-009,13.52090E+000
1,1,94,1.40000E+000,1.20348E-009,13.66690E+000
1,1,95,1.20000E+000,1.04922E-009,13.81204E+000
1,1,96,1.00000E+000,856.89000E-012,13.95796E+000
1,1,97,800.00000E-003,716.10000E-012,14.10414E+000
1,1,98,600.00000E-003,554.78000E-012,14.24932E+000
1,1,99,400.00000E-003,356.38000E-012,14.39447E+000
