Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,1.00000E+000,14.32000E-012,123.51400E-003,-60.00000E+000,-528.00000E-012,10.60900E-003
1,1,2,1.00000E+000,9.26000E-012,244.93800E-003,-59.39700E+000,-640.00000E-012,146.13300E-003
1,1,3,1.00000E+000,11.75000E-012,365.77800E-003,-58.79400E+000,-275.00000E-012,266.57600E-003
1,1,4,1.00000E+000,7.28000E-012,486.59900E-003,-58.19100E+000,575.00000E-012,387.25400E-003
1,1,5,1.00000E+000,6.54000E-012,607.51300E-003,-57.58790E+000,600.00000E-012,508.31000E-003
1,1,6,1.00000E+000,6.06000E-012,728.32900E-003,-56.98490E+000,771.00000E-012,629.23100E-003
1,1,7,1.00000E+000,4.61000E-012,849.31300E-003,-56.38190E+000,888.00000E-012,749.95500E-003
1,1,8,1.00000E+000,5.06000E-012,970.57000E-003,-55.77890E+000,-39.00000E-012,876.60900E-003
1,1,9,1.00000E+000,3.97000E-012,1.09138E+000,-55.17590E+000,1.42500E-009,992.22000E-003
1,1,10,1.00000E+000,4.08000E-012,1.21219E+000,-54.57290E+000,1.10900E-009,1.11303E+000
1,1,11,1.00000E+000,2.47000E-012,1.33316E+000,-53.96980E+000,-114.00000E-012,1.23714E+000
1,1,12,1.00000E+000,5.72000E-012,1.45400E+000,-53.36680E+000,-461.00000E-012,1.35816E+000
1,1,13,1.00000E+000,3.65000E-012,1.57498E+000,-52.76380E+000,1.11500E-009,1.47561E+000
1,1,14,1.00000E+000,2.76000E-012,1.69581E+000,-52.16080E+000,428.00000E-012,1.59711E+000
1,1,15,1.00000E+000,2.17000E-012,1.81660E+000,-51.55780E+000,339.00000E-012,1.71744E+000
1,1,16,1.00000E+000,3.15000E-012,1.93739E+000,-50.95480E+000,-974.00000E-012,1.84159E+000
1,1,17,1.00000E+000,1.58000E-012,2.05834E+000,-50.35180E+000,-241.00000E-012,1.95917E+000
1,1,18,1.00000E+000,5.27000E-012,2.17917E+000,-49.74870E+000,-477.00000E-012,2.08003E+000
1,1,19,1.00000E+000,4.45000E-012,2.29999E+000,-49.14570E+000,-395.00000E-012,2.20082E+000
1,1,20,1.00000E+000,6.07000E-012,2.42078E+000,-48.54270E+000,-569.00000E-012,2.32492E+000
1,1,21,1.00000E+000,7.37000E-012,2.54432E+000,-47.93970E+000,-356.00000E-012,2.44575E+000
1,1,22,1.00000E+000,12.27000E-012,2.66515E+000,-47.33670E+000,275.00000E-012,2.56589E+000
1,1,23,1.00000E+000,19.98000E-012,2.78594E+000,-46.73370E+000,219.00000E-012,2.68682E+000
1,1,24,1.00000E+000,30.15000E-012,2.90674E+000,-46.13070E+000,397.00000E-012,2.80759E+000
1,1,25,1.00000E+000,40.77000E-012,3.04555E+000,-45.52760E+000,818.00000E-012,2.92923E+000
1,1,26,1.00000E+000,65.64000E-012,3.16638E+000,-44.92460E+000,951.00000E-012,3.07048E+000
1,1,27,1.00000E+000,87.49000E-012,3.28794E+000,-44.32160E+000,1.04300E-009,3.19452E+000
1,1,28,1.00000E+000,129.00000E-012,3.40874E+000,-43.71860E+000,988.00000E-012,3.30958E+000
1,1,29,1.00000E+000,187.45000E-012,3.54685E+000,-43.11560E+000,1.40700E-009,3.43366E+000
1,1,30,1.00000E+000,243.19000E-012,3.66768E+000,-42.51260E+000,621.00000E-012,3.56853E+000
1,1,31,1.00000E+000,339.02000E-012,3.78847E+000,-41.90950E+000,1.33000E-009,3.69259E+000
1,1,32,1.00000E+000,414.09000E-012,3.90927E+000,-41.30650E+000,1.56200E-009,3.80995E+000
1,1,33,1.00000E+000,580.69000E-012,4.04914E+000,-40.70350E+000,1.37000E-009,3.93423E+000
1,1,34,1.00000E+000,751.16000E-012,4.16998E+000,-40.10050E+000,1.36300E-009,4.07409E+000
1,1,35,1.00000E+000,964.12000E-012,4.29120E+000,-39.49750E+000,1.36500E-009,4.19226E+000
1,1,36,1.00000E+000,1.24256E-009,4.41198E+000,-38.89450E+000,1.85000E-009,4.31262E+000
1,1,37,1.00000E+000,1.49608E-009,4.54947E+000,-38.29150E+000,1.80900E-009,4.43361E+000
1,1,38,1.00000E+000,1.86347E-009,4.67030E+000,-37.68840E+000,1.41800E-009,4.57442E+000
1,1,39,1.00000E+000,2.25884E-009,4.79108E+000,-37.08540E+000,1.62400E-009,4.69192E+000
1,1,40,1.00000E+000,2.74616E-009,4.91189E+000,-36.48240E+000,1.27700E-009,4.81599E+000
1,1,41,1.00000E+000,3.32613E-009,5.05067E+000,-35.87940E+000,1.80500E-009,4.93356E+000
1,1,42,1.00000E+000,3.95034E-009,5.17150E+000,-35.27640E+000,1.13300E-009,5.07562E+000
1,1,43,1.00000E+000,4.93346E-009,5.29235E+000,-34.67340E+000,1.59500E-009,5.19363E+000
1,1,44,1.00000E+000,5.70295E-009,5.41316E+000,-34.07040E+000,958.00000E-012,5.31729E+000
1,1,45,1.00000E+000,6.37885E-009,5.55194E+000,-33.46730E+000,1.67700E-009,5.43479E+000
1,1,46,999.99900E-003,7.08946E-009,5.67276E+000,-32.86430E+000,1.19700E-009,5.57694E+000
1,1,47,1.00000E+000,8.22250E-009,5.79355E+000,-32.26130E+000,1.72600E-009,5.69439E+000
1,1,48,1.00000E+000,9.11653E-009,5.91435E+000,-31.65830E+000,1.90500E-009,5.81518E+000
1,1,49,999.99900E-003,11.01300E-009,6.09202E+000,-31.05530E+000,1.65700E-009,5.93601E+000
1,1,50,999.99900E-003,12.32940E-009,6.21413E+000,-30.45230E+000,1.25500E-009,6.11691E+000
1,1,51,999.99900E-003,13.83160E-009,6.33610E+000,-29.84920E+000,1.73600E-009,6.23583E+000
1,1,52,1.00000E+000,15.28600E-009,6.45804E+000,-29.24620E+000,1.25700E-009,6.35782E+000
1,1,53,1.00000E+000,16.72330E-009,6.58049E+000,-28.64320E+000,618.00000E-012,6.48055E+000
1,1,54,1.00000E+000,18.88940E-009,6.70245E+000,-28.04020E+000,608.00000E-012,6.60195E+000
1,1,55,1.00000E+000,20.88520E-009,6.82437E+000,-27.43720E+000,-95.00000E-012,6.72406E+000
1,1,56,1.00000E+000,22.27960E-009,6.94630E+000,-26.83420E+000,13.00000E-012,6.84580E+000
1,1,57,1.00000E+000,24.45730E-009,7.07057E+000,-26.23120E+000,-22.00000E-012,6.96801E+000
1,1,58,1.00000E+000,26.62700E-009,7.19391E+000,-25.62810E+000,1.79800E-009,7.09204E+000
1,1,59,1.00000E+000,28.69470E-009,7.31604E+000,-25.02510E+000,1.80100E-009,7.21576E+000
1,1,60,1.00000E+000,30.72250E-009,7.43799E+000,-24.42210E+000,1.57800E-009,7.33772E+000
1,1,61,1.00000E+000,33.03810E-009,7.57123E+000,-23.81910E+000,1.30800E-009,7.45960E+000
